价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁,每平米价格
10550.0,93.0,147896-A,2室1卫,16/32层,朝阳区,大望路,soho现代城,"地铁：距1号线,14号线东段大望路站250米",113.44086021505376
2970.0,15.0,30570-B,3室1卫,4/6层,朝阳区,东风北桥,酒仙桥三街坊,"地铁：距14号线东段,平谷线东风北桥站1350米",198.0
2200.0,10.0,305-A,4室2卫,6/10层,朝阳区,常营,优点社区,地铁：距6号线常营站1050米,220.0
2180.0,12.0,71239-A,3室1卫,7/11层,朝阳区,孙河,康营小区6区,地铁：距15号线孙河站1050米,181.66666666666666
2260.0,8.0,129109-B,4室1卫,11/22层,丰台区,角门东,首座绿洲,地铁：距10号线角门东站750米,282.5
1260.0,7.0,46743-A,3室1卫,1/6层,顺义区,俸伯,彩俸南区,地铁：距15号线俸伯站1450米,180.0
2620.0,7.0,55179-A,2室1卫,22/24层,西城区,湾子,太平桥东里,地铁：距7号线湾子站550米,374.2857142857143
7480.0,71.0,145647-A,2室1卫,3/7层,朝阳区,四惠,慈云寺,"地铁：距1号线,八通线四惠站900米",105.35211267605634
1330.0,14.0,47235-A,5室1卫,11/15层,房山区,良乡大学城西,瑞雪春堂,地铁：距房山线良乡大学城西站900米,95.0
1900.0,10.0,6843-C,5室1卫,6/6层,朝阳区,黄渠,常营民族家园CDF区,地铁：距6号线黄渠站750米,190.0
2190.0,11.0,118035-A,3室1卫,1/9层,顺义区,花梨坎,吉祥花园,地铁：距15号线花梨坎站450米,199.0909090909091
7760.0,65.0,9215-A,1室1卫,8/28层,朝阳区,东湖渠,博雅国际,地铁：距14号线东段东湖渠站400米,119.38461538461539
9660.0,88.0,146817-A,1室1卫,16/38层,朝阳区,大望路,soho现代城,"地铁：距1号线,14号线东段大望路站250米",109.77272727272727
1290.0,12.0,27023-A,5室2卫,1/2层,房山区,阎村,天恒乐活城,地铁：距燕房线阎村站200米,107.5
1810.0,10.0,43394-C,4室1卫,2/5层,大兴区,西红门,宏盛家园,地铁：距4号线大兴线西红门站900米,181.0
3080.0,8.0,67620-B,2室1卫,11/11层,东城区,安定门,安外西河沿,地铁：距2号线安定门站300米,385.0
2350.0,9.0,132379-B,3室1卫,20/26层,朝阳区,褡裢坡,泰福苑二区,地铁：距6号线褡裢坡站700米,261.1111111111111
1490.0,11.0,34125-C,3室1卫,3/6层,通州区,通州北关,刘庄新村,地铁：距6号线通州北关站2700米,135.45454545454547
2580.0,10.0,34115-A,2室1卫,5/5层,东城区,景泰,永定门东街东里,地铁：距14号线东段景泰站900米,258.0
2490.0,12.0,36489-B,2室1卫,3/6层,石景山区,八角游乐园,八角中里,地铁：距1号线八角游乐园站900米,207.5
